DOI;premier auteur;année
https://github.com/LI-COR/eddypro-engine;LICOR;
https://www.licor.com/documents/k8b90wiwdhietarx04qd;LICOR;
https://www.licor.com/env/mobile/LI-7200.html;LICOR;
http://gillinstruments.com/data/manuals/1199-PS-0035%20HS50%20and%20HS100%20Manual%20Issue%201%2011042017.pdf;Gill;
https://www.catec.nl/uploads/pdf/Li-7200-manual_632.pdf;Catex;
https://www.hukseflux.com/sites/default/files/product_manual/HFP01SC_manual_v1624.pdf;Hukseflux;
http://www.kippzonen.fr/Download/354/Manual-CNR-4-Net-Radiometer-English;Kippzonen;
https://s.campbellsci.com/documents/es/manuals/arg100.pdf;Campbellsci;
https://www.vaisala.com/sites/default/files/documents/PTU300%20User%27s%20Guide%20in%20English%20M210796EN.pdf;Vaisala;
https://s.campbellsci.com/documents/fr/manuals/skp_215.pdf;Campbellsci;
https://s.campbellsci.com/documents/sp/manuals/hmp155a.pdf;Campbellsci;
https://s.campbellsci.com/documents/cn/manuals/cs650.pdf;Campbellsci;
https://s.campbellsci.com/documents/cn/manuals/109.pdf;Campbellsci;
http://gillinstruments.com/data/manuals/WindSonic-Web-Manual.pdf;Gill;
https://s.campbellsci.com/documents/fr/manuals/cs451_456.pdf;Campbellsci;
https://sourcesup.renater.fr/si-snot/3.3_Sce_MeteoSol.html;SNO-T;2019
https://s.campbellsci.com/documents/fr/manuals/cs215.pdf;Campbell Scientific;
http://www.youngusa.com/Manuals/05103-90(M).pdf;Young;
https://s.campbellsci.com/documents/fr/product-brochures/b_sp-lite.pdf;Campbell Scientific;
https://www.ott.com/products/water-level-1/ott-orpheus-mini-water-level-logger-3/;OTT;
https://s.campbellsci.com/documents/af/manuals/hmp45c.pdf;Vaisala;
https://s.campbellsci.com/documents/fr/manuals/05103_wind_monitors.pdf;Campbellsci;
https://s.campbellsci.com/documents/us/manuals/cnr1.pdf;Campbellsci;
https://www.vaisala.com/sites/default/files/documents/GMP343%20User%27s%20Guide%20in%20English%20M210514EN.pdf;Vaisala;
